model,family,input_window,output_window,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,n_train_samples,epochs_run,best_epoch,hit_epoch_limit,seconds,seed,best_baseline,dm_statistic,dm_p_value,params_to_samples,exceeds_param_rule
cnn,convolutional,10,5,0.005415578970539116,0.0041805101081634115,0.005690013193355745,0.5116566726720266,3095,13110,32.0,7.0,False,14.1,42.0,historical_mean,5.082390041392163,4.159752213178623e-07,0.23607932875667428,True
cnn_deep,convolutional,10,5,0.005416008293199619,0.00414641252963785,0.005615441751129153,0.527306461588104,9815,13110,31.0,6.0,False,19.7,42.0,historical_mean,1.6718264397455094,0.09475190830343266,0.7486651411136537,True
conv_gru,mixed,10,5,0.005468853212327776,0.004138116007574338,0.0056007390835836075,0.540885745785044,10487,13110,26.0,1.0,False,19.2,42.0,historical_mean,0.5383415571491758,0.5904153136766476,0.7999237223493516,True
multibranch,mixed,10,5,0.005448891995984119,0.004143968769366151,0.005603238082438179,0.5345935626126005,12311,13110,29.0,4.0,False,19.6,42.0,historical_mean,0.8540618512798602,0.39319714698044916,0.9390541571319604,True
buy_and_hold,baseline,10,30,0.012128698362638485,0.009257825968607272,0.012533596577127612,0.49576396546623275,0,13089,,,False,0.0,,historical_mean,13.771768517222577,6.968779227011559e-41,0.0,False
zero_return,baseline,10,30,0.0022480267648974984,0.0017444755857409589,0.002356073745652805,0.0,0,13089,,,False,0.0,,historical_mean,1.823583938268988,0.068399632774427,0.0,False
window_mean,baseline,10,30,0.0044907250933443185,0.003530913434551248,0.004742550184497944,0.49872246577553053,0,13089,,,False,0.0,,historical_mean,12.122329878712035,1.9624895125579093e-32,0.0,False
historical_mean,baseline,10,30,0.002204044935245714,0.0017034055190878526,0.0023211295581298664,0.575401414701057,23,13089,,,False,0.0,,historical_mean,0.0,1.0,0.001757200702880281,False
linear_regression,baseline,10,30,0.0021810783988776765,0.001720686724047884,0.0023580661292527437,0.5471342890185847,5313,13089,,,False,0.0,,historical_mean,2.9049404903964984,0.003723180036068509,0.4059133623653449,True
mlp_small,dense,10,30,0.0021643171931789596,0.0017191681070989485,0.002362561697853368,0.5506306984750275,8151,13089,32.0,7.0,False,8.3,42.0,historical_mean,3.5444361571919956,0.00040465463130498345,0.6227366490946596,True
mlp_deep,dense,10,30,0.002201079645510334,0.001701930452639279,0.0023220585138235003,0.5749710873833409,17623,13089,27.0,11.0,False,9.2,42.0,historical_mean,0.2145359874236466,0.8301561740330577,1.3463977385590955,True
lstm,recurrent,10,30,0.0021802163446388344,0.0017107250320963416,0.0023374366517521982,0.5655576773083026,7927,13089,27.0,2.0,False,15.4,42.0,historical_mean,1.3109048032595998,0.19007618081077102,0.6056230422492169,True
gru,recurrent,10,30,0.0021823914598920638,0.0017114131443870815,0.00233791658722619,0.5681934321293134,6231,13089,28.0,3.0,False,18.4,42.0,historical_mean,1.6334414093774234,0.10257099065758597,0.47604859041943615,True
cnn,convolutional,10,30,0.002146592971771471,0.0017181364090197166,0.0023693285626401684,0.546730857158226,3095,13089,30.0,6.0,False,12.5,42.0,historical_mean,3.5859952685574537,0.0003457851857085144,0.23645809458323783,True
cnn_deep,convolutional,10,30,0.0021643418939568822,0.0017057357594500728,0.002333313570062034,0.564105322611011,9815,13089,31.0,6.0,False,17.8,42.0,historical_mean,1.6901536659442753,0.09119142426401212,0.74986629994652,True
conv_gru,mixed,10,30,0.0021982073122990813,0.0017045980432611567,0.00232075832027517,0.5748904010112692,10487,13089,26.0,1.0,False,17.9,42.0,historical_mean,-0.10106083899721986,0.9195147014843887,0.8012071204828481,True
multibranch,mixed,10,30,0.0021668861964168006,0.0017019996138664102,0.002327229324217461,0.5734111508566203,12311,13089,30.0,5.0,False,20.5,42.0,historical_mean,0.5648485035998635,0.5722552112071358,0.9405607762243104,True
buy_and_hold,baseline,10,90,0.011973706895697182,0.008962956215134649,0.012226012663017575,0.5002833778641406,0,13041,,,False,0.0,,historical_mean,10.62366225422569,1.583770968255266e-25,0.0,False
zero_return,baseline,10,90,0.001338136347816556,0.0009857846066663848,0.0013258779188293499,0.0,0,13041,,,False,0.0,,historical_mean,1.7552684150057947,0.07940357776205853,0.0,False
window_mean,baseline,10,90,0.004065902722084764,0.0030755093498179057,0.004226152224087759,0.49485871589344993,0,13041,,,False,0.0,,historical_mean,10.635371731376463,1.4084557711744992e-25,0.0,False
historical_mean,baseline,10,90,0.0012670237221860253,0.0009245241169260882,0.0012685497178585824,0.6322564974495992,23,13041,,,False,0.0,,historical_mean,0.0,1.0,0.001763668430335097,False
linear_regression,baseline,10,90,0.0012575027518205001,0.0009352249470937625,0.001287385414245681,0.6171430113621029,5313,13041,,,False,0.0,,historical_mean,2.199544452180404,0.027980934937405378,0.4074074074074074,True
mlp_small,dense,10,90,0.0012514956641469027,0.0009415495644924019,0.00129487891427722,0.6154157558092462,8151,13041,31.0,6.0,False,8.3,42.0,historical_mean,2.729750163527556,0.006407275445699923,0.6250287554635381,True
mlp_deep,dense,10,90,0.0012664351543061093,0.0009250836255989031,0.0012701551503116382,0.6310420208889969,17623,13041,26.0,2.0,False,8.8,42.0,historical_mean,0.4890895832485746,0.6248448955101205,1.351353423817192,True
